parameter_type,percentile,ttfb_median,throughput_median,rtt_median,latency_median
distance-bandwidth,30-90_percent,0.5007979,1636.6644228534255,0.24838818709055582,0.2387164333333333
distance-bandwidth,30-95_percent,0.4960894666666667,1697.0038063397253,0.32927822271982826,0.23383730000000005
distance-bandwidth,40-30_percent,0.5462786333333333,1599.2993302204466,0.2798278013865153,0.2930122666666667
distance-bandwidth,40-40_percent,0.5069842333333333,1663.862389305958,0.25589584509531654,0.2535764333333333
distance-bandwidth,40-50_percent,0.5258605,1617.1640839635793,0.247761869430542,0.26555926666666674
distance-bandwidth,40-60_percent,0.5115977,1715.2530125098433,0.24674108823140461,0.23061583333333333
distance-bandwidth,40-70_percent,0.5143095000000001,1646.811507873152,0.25054301420847574,0.25969586666666666
distance-bandwidth,40-80_percent,0.4629692666666666,1793.3754700194725,0.24725573857625324,0.2365911
distance-bandwidth,40-90_percent,0.5445545333333333,1576.828754005598,0.2513851324717204,0.2513294333333333
distance-bandwidth,40-95_percent,0.5059316333333334,1642.4214549419207,0.26056200663248696,0.23929183333333331
distance-bandwidth,50-30_percent,0.5987329,1612.0854713006581,0.2443602164586385,0.35362326666666666
distance-bandwidth,50-40_percent,0.5050266333333333,1709.346970980077,0.26100680033365886,0.2455365
distance-bandwidth,50-50_percent,0.7233081666666668,1429.558712666003,0.3477078358332316,0.3583627
distance-bandwidth,50-60_percent,0.5888061333333333,1548.3510575725122,0.24305438995361328,0.2574727666666667
distance-bandwidth,50-70_percent,0.4976567333333333,1745.0878695978406,0.28959285418192543,0.26117573333333327
distance-bandwidth,50-80_percent,0.49507173333333326,1626.313318994393,0.2920187075932821,0.24376096666666666
distance-bandwidth,50-90_percent,0.5453700666666667,1581.2265008869786,0.2835750897725423,0.25847343333333334
distance-bandwidth,50-95_percent,0.5100198,1700.3324043401724,0.259160312016805,0.23034673333333336
distance-bandwidth,60-30_percent,0.4775067,1720.3897222326946,0.2703484296798706,0.2413969
distance-bandwidth,60-40_percent,0.5057982333333333,1665.7055631812202,0.2776078144709269,0.24289006666666665
distance-bandwidth,60-50_percent,0.6038397586206896,1532.9230323071945,0.29974497597793054,0.3348663448275862
distance-bandwidth,60-60_percent,0.49546090000000004,1672.363543254742,0.2588059663772583,0.22748059999999998
distance-bandwidth,60-70_percent,0.48440846666666665,1725.911676162078,0.2434060017267863,0.24379053333333334
distance-bandwidth,60-80_percent,0.4800299,1733.0024017892172,0.25035479068756106,0.23314186666666667
distance-bandwidth,60-90_percent,0.4919225,1701.0032881222428,0.2521194537480672,0.23751826666666667
distance-bandwidth,60-95_percent,0.4689202333333334,1820.4554393312017,0.2714036146799723,0.2112573
distance-bandwidth,70-30_percent,1.4131771,1705.579823959945,0.5628749291102092,0.47960840000000005
distance-bandwidth,70-40_percent,0.4818376999999999,1748.9616727758882,0.28470505873362223,0.22786933333333337
distance-bandwidth,70-50_percent,0.4967481000000001,1659.2579367046592,0.293624218304952,0.26149833333333333
distance-bandwidth,70-60_percent,0.5222989333333333,1633.9268657203618,0.2666224797566732,0.24801389999999998
distance-bandwidth,70-70_percent,0.5030892,1649.0779358655236,0.24539220333099365,0.2518617333333333
distance-bandwidth,70-80_percent,0.5028577333333333,1649.785620350024,0.26689735253651936,0.22730443333333336
distance-bandwidth,70-90_percent,0.4705489666666667,1778.9389286401122,0.24247364997863768,0.20972100000000002
distance-bandwidth,70-95_percent,0.5251524666666666,1559.2048501838067,0.23145801226298016,0.22718683333333337
distance-bandwidth,80-30_percent,0.4591527666666667,1794.5445201661123,0.24002658526102702,0.23148786666666668
distance-bandwidth,80-40_percent,0.4560516666666667,1792.4168812959788,0.24697264035542807,0.2329438
distance-bandwidth,80-50_percent,0.4431446896551723,1838.7458561807741,0.25102984494176406,0.22314227586206895
distance-bandwidth,80-60_percent,0.5027364000000001,1616.5540793505822,0.2423492670059204,0.23584596666666663
distance-bandwidth,80-70_percent,0.5123258333333333,1583.9383583621404,0.2447433630625407,0.23809216666666666
distance-bandwidth,80-80_percent,0.4453354666666666,1877.841311671683,0.22805193265279133,0.22307619999999997
distance-bandwidth,80-90_percent,0.46979933333333335,1762.5667845644562,0.26126800378163656,0.20392050000000003
distance-bandwidth,80-95_percent,0.48749136666666665,1679.084379378392,0.25335849126180016,0.22020166666666663
distance-bandwidth,90-30_percent,0.4874379666666666,1707.9681845195983,0.22725993792215984,0.23284729999999998
distance-bandwidth,90-40_percent,0.46851646666666663,1770.6865596845885,0.2646019538243612,0.22866860000000003
distance-bandwidth,90-50_percent,0.46720849999999997,1744.4244086360384,0.248503573735555,0.2187599666666667
distance-bandwidth,90-60_percent,0.5556477666666666,1631.4911353344587,0.24933653672536213,0.2761245666666666
distance-bandwidth,90-70_percent,0.5124073793103449,1610.2803191350488,0.2502717560735242,0.24207172413793104
distance-bandwidth,90-80_percent,0.5312470666666668,1755.44858560761,0.26281119187672936,0.2568438
distance-bandwidth,90-90_percent,0.48115310344827583,1691.7213820912543,0.25355296299375335,0.24323924137931036
distance-bandwidth,90-95_percent,0.4748227931034482,1692.6567625953303,0.2224480365884715,0.22177293103448276
